"contact_[0,10)","contact_[10,20)","contact_[20,30)","contact_[30,40)","contact_[40,50)","contact_[50,60)","contact_[60,70)","contact_[70,80)","contact_[80,90)","contact_90+"
0,0.0105920154674658,0.158011751102082,0.395875159578466,0.292687948428217,0.376325857071956,0.00607773682781191,0.0270821553023186,0,0.00201305346530895
0.0103357647870235,0.138436607147406,1.16903374450956,1.29899524993368,0.459036900699378,0.281459263193082,0,0,0,0
0.142249122238968,1.07850768849447,2.02666922313082,2.01449594311645,2.28856241985498,1.41185016800773,0.206033644286289,0.103367151830269,0.0121914967199501,0.0113127890159971
0.33639657660526,1.1311934138555,1.90151389780001,2.85742920160234,3.23605190660677,2.01217874515796,0.416356109381526,0.227513819405813,0.0379628613588034,0.014993739059975
0.225233859424937,0.362003213368136,1.95628169418532,2.93056258902752,3.38133396384301,2.16687852235988,0.664269933761061,0.390713079219599,0.0480810207594945,0.0043508857361641
0.317256432556792,0.243163234880501,1.32213188102936,1.99627155345685,2.37384360928063,1.54362970748147,0.367540049174351,0.182344541444728,0.0305769408869302,0.0082332750676414
0.00673251055942091,0,0.253520502845239,0.542758680634256,0.956204779610662,0.482940296663299,0.11577338638,0.0303765326073844,0,0
0.0384838106798896,0,0.163161310907167,0.380460268868459,0.721479435400945,0.307355674279079,0.0389670825619314,0.0302372798199132,0.0156787054581856,0
0,0,0.0340167142570613,0.112217649518617,0.156942434834303,0.0911052075019788,0,0.0277147459037949,0,0
0.0396174886100621,0,0.247309677150957,0.347254805565128,0.111270610777063,0.192201990138312,0,0,0,0
